damage_qty,location,erosion,coat_protection,laminate_vis_dry_dam,hole/crack/bonding,lightning_recep_dam/impact,assist,other,num_desc,continuous,out_hue_mode,out_sat_mode,out_brt_mode,size,coverage,asp_ratio,deg_avg,deg_mode,edge,edgelen_avg,edgelen_mode,sc_edge_ratio,sc_follow_turn,sc_reverse_turn,sc_small_turn,sc_score,hue_avg,hue_mode,hue_range,hue_uni,sat_avg,sat_mode,sat_range,sat_uni,brt_avg,brt_mode,brt_range,brt_uni,hue_outin,sat_outin,brt_outin,windtex
5,40,0,0,3,0,0,0,0,1,1,11,3,5,1,6,5,10,12,2,7,7,12,1,10,3,3,9,9,12,17,2,2,4,6,5,4,8,10,10,20,36,7
5,39,0,2,0,0,0,0,0,1,0,6,2,7,1,7,4,10,11,1,8,8,12,1,12,3,4,6,6,10,7,2,2,4,6,5,4,7,9,8,8,25,7
2,40,0,1,1,0,0,0,0,2,1,12,2,8,1,4,4,10,8,5,8,8,12,2,10,4,4,4,4,12,18,4,4,8,10,4,6,8,10,18,42,54,1
4,35,0,1,1,0,0,0,0,2,0,12,4,6,1,7,5,10,11,2,8,8,14,2,9,1,4,12,12,6,8,4,3,7,9,5,5,5,7,2,15,41,1
4,39,0,2,0,0,0,0,0,1,1,12,7,6,4,6,6,10,12,4,6,6,12,0,10,4,4,10,12,12,18,2,2,8,10,6,8,8,10,15,30,27,7
1,44,3,2,0,0,0,0,0,2,0,10,2,8,1,8,5,10,12,2,8,7,12,4,8,2,3,6,5,12,16,3,3,3,5,6,6,6,8,17,22,44,2
5,39,0,0,2,0,0,0,0,1,0,8,3,7,1,6,4,10,11,2,8,7,13,5,8,4,3,10,12,9,12,4,3,6,8,4,5,6,8,7,22,57,5
4,43,0,2,1,0,0,0,0,3,1,12,8,8,1,6,4,10,12,1,8,8,12,0,10,2,2,8,12,12,18,2,2,8,10,6,7,8,10,12,31,23,5
1,44,0,2,0,0,0,0,0,1,1,12,2,8,1,8,4,10,11,2,8,8,14,1,10,4,4,9,9,12,17,2,2,5,7,5,6,8,10,9,8,31,5
1,37,0,1,1,0,0,0,0,2,1,2,2,8,1,6,4,10,12,4,8,6,14,0,10,2,4,6,6,12,18,2,2,4,6,8,8,6,8,14,4,8,1
3,42,0,2,0,0,0,0,0,1,1,12,2,8,1,6,8,11,12,1,8,8,14,2,10,2,3,8,8,12,17,2,2,2,4,7,6,7,9,13,21,33,5
1,44,0,1,1,0,0,0,0,2,1,12,2,2,1,8,4,10,12,1,6,6,12,8,6,2,2,6,4,12,18,2,2,8,10,8,10,8,10,20,26,22,1
2,33,0,1,1,0,0,0,0,2,0,12,2,8,1,6,4,10,12,4,8,8,14,2,10,4,4,8,4,12,18,2,2,2,4,6,6,8,10,10,8,48,1
1,35,0,1,1,0,0,0,0,2,0,2,2,6,1,6,4,10,12,3,8,6,14,2,10,2,4,6,2,12,18,2,2,2,4,4,4,8,10,10,0,64,1
3,42,3,2,0,0,0,0,0,2,1,12,2,7,1,8,7,10,12,2,6,7,12,3,9,2,2,9,9,12,17,2,2,5,7,6,7,8,10,8,21,23,5
1,42,0,2,0,0,0,0,0,1,0,4,2,7,1,6,4,10,11,2,8,8,14,3,10,3,4,4,4,10,9,2,2,2,4,6,6,5,7,4,22,35,3
5,42,0,2,0,0,0,0,0,1,1,5,2,6,2,8,5,10,9,2,8,8,12,8,6,3,2,4,4,9,12,2,2,4,6,6,6,7,9,17,21,25,5
1,44,3,0,0,0,0,0,0,1,1,2,2,4,1,4,6,10,12,4,6,8,12,2,10,4,4,4,4,12,14,2,2,6,8,4,4,6,8,16,16,44,1
5,42,0,2,0,0,0,0,0,1,1,10,2,8,1,7,4,10,11,1,7,7,12,7,7,3,3,5,4,11,14,2,2,3,5,7,7,7,9,23,26,26,7
1,44,0,1,1,0,0,0,0,2,1,12,2,3,1,6,4,10,12,2,7,6,13,4,9,2,2,8,8,12,18,2,2,5,7,4,4,4,6,13,12,33,1
1,28,0,2,0,0,0,0,0,1,0,4,2,8,1,8,2,10,12,3,8,8,14,2,10,4,4,4,4,11,10,2,2,2,4,6,6,8,10,4,15,47,3
5,40,0,2,0,0,0,0,0,1,1,8,2,7,1,7,5,10,11,3,8,8,13,4,9,2,2,4,4,12,18,2,2,5,7,6,6,7,9,19,23,33,5
1,44,3,2,0,0,0,0,0,2,0,4,2,6,1,4,6,10,12,3,8,8,14,2,10,4,4,6,4,12,18,2,2,4,6,6,4,8,10,10,14,24,1
1,33,0,1,1,0,0,0,0,2,0,10,2,6,1,7,5,10,11,1,8,8,14,9,5,2,4,10,10,6,5,2,2,1,3,5,5,6,8,8,0,30,1
1,33,2,2,0,0,0,0,0,2,1,12,2,7,1,6,8,10,12,1,6,7,12,4,9,3,2,12,12,4,6,3,3,4,6,4,4,5,7,3,13,41,1
1,39,0,2,0,0,0,0,0,1,0,12,2,6,1,8,4,10,12,1,8,8,13,2,9,4,4,11,12,11,8,2,2,0,2,4,4,4,6,10,0,29,3
1,41,0,2,0,0,0,0,0,1,1,4,2,6,1,6,4,10,10,3,6,8,12,2,10,2,4,4,4,12,16,2,2,2,4,6,6,4,6,8,18,18,3
1,42,0,2,1,0,0,0,0,3,0,2,2,6,1,8,4,10,12,3,8,8,14,0,10,2,2,8,4,12,18,2,2,2,4,6,6,8,10,10,12,32,3
1,42,0,2,0,0,0,0,0,1,0,12,2,6,1,6,4,10,12,2,8,8,14,6,6,2,2,10,12,12,18,2,2,2,4,6,4,8,10,10,2,24,3
1,44,2,2,0,0,0,0,0,2,0,12,2,4,1,6,4,10,12,2,8,8,12,4,8,2,2,10,12,12,16,2,2,2,4,4,4,8,10,2,10,32,3
1,33,2,0,0,0,0,0,0,1,1,12,2,6,1,7,7,10,12,2,7,7,13,1,11,3,3,8,9,12,15,2,2,4,6,5,5,7,9,11,9,25,1
1,40,0,2,0,0,0,0,0,1,0,4,2,6,1,8,4,10,10,1,6,8,12,2,10,0,4,12,12,12,16,2,2,2,4,6,8,8,10,28,0,34,3
1,42,0,2,0,0,0,0,0,1,1,4,2,8,1,8,4,10,12,2,6,6,12,4,10,4,4,6,4,12,18,2,2,4,6,4,4,8,10,9,20,54,3
1,43,3,2,0,0,0,0,0,2,0,12,2,6,1,8,8,10,12,2,8,8,14,6,6,2,2,10,12,12,18,2,2,2,4,6,4,8,10,10,4,30,3
1,44,2,0,0,0,0,0,0,1,0,12,2,4,1,4,4,10,12,2,8,6,14,2,10,4,4,10,12,12,16,2,2,4,6,4,4,8,10,6,2,26,1
1,30,2,0,0,0,0,0,0,1,0,12,2,6,1,6,4,10,10,2,8,8,14,6,8,2,4,12,12,1,3,4,4,5,7,6,6,6,8,3,16,26,1
1,42,0,2,1,0,0,0,0,3,0,4,2,4,1,6,4,10,12,3,8,8,14,2,10,4,4,6,4,12,18,2,2,6,8,4,4,6,8,6,24,34,3
2,44,3,2,0,0,0,0,0,2,1,4,2,10,1,8,6,10,12,5,8,8,12,2,10,4,4,8,4,12,18,2,2,8,10,4,4,8,10,4,20,52,4
8,35,3,0,0,0,0,0,0,1,1,12,2,4,2,4,12,12,12,1,8,8,14,0,12,2,2,12,12,12,14,2,2,4,6,4,4,4,6,10,2,37,7
2,40,0,2,0,0,0,0,0,1,1,6,2,8,1,8,4,10,12,2,8,8,14,2,10,0,2,4,4,5,6,2,2,2,4,6,6,6,8,20,5,49,4
2,43,3,2,0,0,0,0,0,2,1,11,2,4,1,8,7,10,10,4,6,6,12,2,10,4,4,4,4,12,17,2,2,8,10,4,4,8,10,18,19,32,4
8,32,3,0,0,0,0,0,0,1,1,9,2,6,7,6,7,11,12,3,8,7,14,2,11,3,3,9,9,11,13,2,2,5,7,4,4,5,7,10,13,41,2
4,39,0,2,0,0,0,0,0,1,1,6,2,6,1,6,6,10,12,3,8,8,14,2,10,2,4,4,4,11,14,2,2,4,6,4,4,7,9,15,19,22,4
4,43,3,0,0,0,0,0,0,1,1,4,2,6,1,6,12,10,12,4,8,8,14,2,10,2,4,4,4,2,4,2,2,6,8,6,6,8,10,2,14,16,4
1,36,0,1,1,0,0,0,0,2,0,10,2,8,1,7,3,10,9,1,8,7,14,8,7,4,4,10,10,1,3,2,2,0,2,6,7,4,6,10,0,27,1
4,39,0,2,0,0,0,0,0,1,0,6,2,6,4,6,3,10,12,2,7,8,13,3,9,3,3,5,5,12,12,2,2,3,5,5,5,7,9,10,18,25,4
4,43,3,2,1,0,0,0,0,3,1,10,2,2,1,4,9,10,12,2,8,8,14,1,12,2,2,6,3,12,13,2,2,6,8,4,4,4,6,15,7,26,4
1,39,0,0,0,1,0,0,0,1,0,12,2,10,1,8,2,10,12,1,8,8,12,10,4,2,2,6,2,12,16,2,2,8,10,2,2,8,10,24,16,76,2
1,43,0,1,1,0,0,0,0,2,1,12,2,6,1,8,12,10,12,1,6,6,10,2,10,4,2,12,12,12,18,2,2,8,10,4,2,8,10,6,10,38,3
1,28,0,1,0,0,0,0,0,1,1,12,2,8,1,8,4,10,12,4,8,8,12,4,8,2,2,12,12,12,14,2,2,6,8,8,8,8,10,6,21,27,2
3,42,0,2,1,0,0,0,0,3,1,9,2,7,1,8,4,10,12,2,6,7,12,3,9,2,3,7,8,12,18,2,2,3,5,6,7,7,9,12,21,32,4
1,44,2,0,0,0,0,0,0,1,1,12,2,2,1,6,4,10,12,4,6,8,12,0,10,2,2,8,10,12,17,2,2,8,10,4,2,8,10,9,36,19,3
1,39,0,0,0,1,0,0,0,1,0,2,2,10,1,8,2,12,12,1,8,8,14,6,6,0,2,6,2,12,18,2,2,8,10,2,2,8,10,6,18,78,2
3,43,0,2,0,0,0,0,0,1,0,6,2,4,1,6,6,10,12,4,8,8,12,3,9,4,2,4,4,11,14,2,2,7,9,4,4,7,9,16,5,30,4
1,44,2,0,0,0,0,0,0,1,1,12,2,2,1,8,6,10,12,5,8,8,14,4,8,4,4,4,4,12,18,2,2,8,10,4,4,8,10,24,24,32,3
6,38,0,2,0,0,0,0,0,1,1,10,2,6,1,6,4,10,11,2,8,8,13,2,11,4,4,10,10,11,13,2,2,1,3,4,5,4,6,8,10,38,5
1,41,2,2,0,0,0,0,0,2,1,12,2,4,1,10,4,10,12,2,6,6,12,2,10,0,2,8,6,8,10,2,2,2,4,4,4,4,6,16,16,41,3
