damage_qty,location,erosion,coat_protection,laminate_vis_dry_dam,crack/bonding,lightning/impact,surface/deflector,hole,other[1_2],num_desc,continuous,out_hue_mode,out_sat_mode,out_brt_mode,coverage,asp_ratio,deg_avg,deg_mode,edge,edgelen_avg,edgelen_mode,sc_edge_ratio,sc_follow_turn,sc_reverse_turn,sc_small_turn,hue_avg,hue_mode,hue_range,hue_uni,sat_avg,sat_mode,sat_range,sat_uni,brt_avg,brt_mode,brt_range,brt_uni,hue_outin,sat_outin,brt_outin,size,windtex
1,39.7,0,2,0,0,0,0,0,0,1,0,4,2,7,7,5,10,11,70,8,6,14,3,11,3,4,4,11,8,2,2,2,4,7,7,6,8,3,6,26,16.5033,1.5
1,48.9,0,0,0,1,0,0,0,0,1,0,6,2,8,2,4,10,12,88,8,8,14,8,6,2,6,6,12,14,2,2,0,2,6,6,4,6,8,0,60,1.2233,0.5
1,49.0,0,2,0,0,0,0,0,0,1,0,12,2,8,8,4,10,12,84,8,8,14,-2,14,2,4,4,12,18,2,2,4,6,8,8,6,8,22,10,26,50.8222,1.5
1,30.0,0,2,0,0,0,0,0,0,1,0,6,2,8,6,4,10,12,40,8,6,14,8,6,4,4,6,2,4,4,2,4,6,6,6,8,10,16,30,32,1.3956,0.5
1,45.0,0,2,1,0,0,0,0,0,2,0,6,2,6,8,4,10,12,50,8,8,14,7,7,0,4,4,6,8,2,2,2,4,4,4,6,8,21,16,54,4.1685,1.5
1,48.0,0,2,0,0,0,0,0,0,1,0,6,2,6,8,6,10,12,16,8,8,12,8,4,4,6,6,0,2,2,2,2,4,6,6,2,4,4,0,4,0.312,1.5
1,48.5,0,1,1,0,0,0,0,0,2,0,6,2,5,6,4,10,11,41,8,8,14,6,9,2,6,5,11,11,2,2,4,6,4,4,6,8,10,4,34,0.356,0.5
1,48.5,0,1,1,0,0,0,0,0,2,0,6,2,6,8,4,10,10,26,8,6,14,4,10,4,6,6,8,10,2,2,2,4,6,6,6,8,8,0,30,40.6328,0.5
1,40.0,0,0,0,0,0,0,0,0,1,0,6,2,6,4,10,10,12,80,8,8,14,8,6,2,4,4,12,12,2,2,4,6,4,4,6,8,16,4,48,2.9588,0.25
1,48.5,0,1,1,0,0,0,0,0,2,0,4,2,6,6,4,10,12,126,8,10,14,2,12,2,4,4,12,10,2,2,4,6,4,6,8,10,4,22,22,4.2679,0.25
1,40.0,0,0,0,0,0,0,0,0,1,0,7,2,7,9,9,11,12,32,8,8,14,4,8,3,5,4,12,16,2,2,0,2,6,4,4,6,21,3,45,2.0521,0.25
1,42.0,0,2,0,0,0,0,0,0,1,0,6,2,6,6,3,11,12,49,8,8,14,4,9,1,4,4,9,11,2,2,2,4,6,6,3,5,26,4,25,1.1036000000000001,0.25
1,48.5,0,0,3,0,0,0,0,0,1,0,12,2,10,6,4,10,12,230,8,8,14,4,8,2,8,4,12,18,2,2,6,8,4,4,8,10,14,4,42,4.8464,1.0
